subscribers,Country,Population,Channel_count,Latitude,Longitude,sub_per_channel
13200000,Finland,5520314,1,61.92411,25.748151,13200000
27700000,Ecuador,17373662,2,-1.831239,-78.183406,13850000
13900000,Bangladesh,167310838,1,23.684994,90.356331,13900000
14400000,Peru,32510453,1,-9.189967,-75.015152,14400000
14500000,Morocco,36910560,1,31.791702,-7.09262,14500000
30200000,Iraq,39309783,2,33.223191,43.679291,15100000
30600000,Egypt,100388073,2,26.820553,30.802498,15300000
125600000,Ukraine,44385155,8,48.379433,31.16558,15700000
63000000,Sweden,10285453,4,60.128161,18.643501,15750000
47800000,Vietnam,96462106,3,14.058324,108.277199,15933333.33
83900000,France,67059887,5,46.227638,2.213749,16780000
385100000,Spain,47076781,22,40.463667,-3.74922,17504545.45
17600000,China,1397715000,1,35.86166,104.195397,17600000
17700000,Malaysia,32447385,1,4.210484,101.975766,17700000
626900000,Mexico,126014024,33,23.634501,-102.552784,18996969.7
534100000,Indonesia,270203917,28,-0.789275,113.921327,19075000
172000000,Australia,25766605,9,-25.274398,133.775136,19111111.11
58100000,Netherlands,17332850,3,52.132633,5.291266,19366666.67
19400000,Switzerland,8574832,1,46.818188,8.227512,19400000
116400000,Germany,83132799,6,51.165691,10.451526,19400000
39400000,Italy,60297396,2,41.87194,12.56738,19700000
1221800000,Brazil,212559417,62,-14.235004,-51.92528,19706451.61
59700000,Singapore,5703569,3,1.352083,103.819836,19900000
179100000,Saudi Arabia,34268528,9,23.885942,45.079162,19900000
240100000,Philippines,108116615,12,12.879721,121.774017,20008333.33
20200000,Latvia,1912789,1,56.879635,24.603189,20200000
20400000,Afghanistan,38041754,1,33.93911,67.709953,20400000
148200000,United Arab Emirates,9770529,7,23.424076,53.847818,21171428.57
917400000,United Kingdom,66834405,43,55.378051,-3.435973,21334883.72
386500000,Thailand,69625582,18,15.870032,100.992541,21472222.22
67000000,Jordan,10101694,3,30.585164,36.238414,22333333.33
91600000,Turkey,83429615,4,38.963745,35.243322,22900000
7329500000,United States of America,328239523,313,37.09024,-95.712891,23416932.91
264500000,Colombia,50339443,11,4.570868,-74.297333,24045454.55
363900000,Canada,36991981,15,56.130366,-106.346771,24260000
328500000,Argentina,44938712,13,-38.416097,-63.616672,25269230.77
407200000,Russia,144373535,16,61.52401,105.318756,25450000
4310600000,India,1366417754,168,20.593684,78.96288,25658333.33
155400000,Pakistan,216565318,6,30.375321,69.345116,25900000
481700000,South Korea,51709098,17,35.907757,127.766922,28335294.12
87200000,Chile,18952038,3,-35.675147,-71.542969,29066666.67
30500000,Kuwait,4207083,1,29.31166,47.481766,30500000
31200000,Venezuela,28515829,1,6.42375,-66.58973,31200000
189100000,Japan,126226568,5,36.204824,138.252924,37820000
41900000,Barbados,287025,1,13.193887,-59.543198,41900000
46100000,El Salvador,6453553,1,13.794185,-88.89653,46100000
46300000,Cuba,11333483,1,21.521757,-77.781167,46300000
